TÍTULO EN ESPAÑOL;TIPO DE PELÍCULA;AÑO DE ESTRENO;CONTENIDO;;
El misterio del los flamencos;Imagen real;2010;Documental;;
Campeón / Secretariat;Imagen real;2010;Original ;;
Do Dooni Chaar;Imagen real;2010;Original ;;
Enredados;Animada;2010;Original ;;
Tron: El legado / Tron: Legacy;Imagen real;2010;Secuela;;
Anaganaga O Dheerudu;Imagen real;2010;Original ;;
Kika superbruja 2: el viaje a Mandolán;Imagen real;2010;Secuela;;
Marte necesita mamás;Animada;2011;Original ;;
Zokkomon;Imagen real;2011;Original ;;
Felinos de África;Imagen real;2011;Documental;;
Fin de curso;Imagen real;2011;Original ;;
Piratas del Caribe: Navegando en aguas misteriosas / Piratas del Caribe:En mareas misteriosas;Imagen real;2011;Secuela;;
Cars 2;Animada;2011;Secuela;;
Winnie the Pooh;Animada;2011;Spin-Off;;
Los Muppets;Imagen real;2011;Reboot;;
John Carter;Imagen real;2012;Original ;;
Chimpancés;Imagen real;2012;Documental;;
Arjun: El príncipe guerrero;Animada;2012;Original ;;
Valiente / Indomable;Animada;2012;Original ;;
La extraña vida de Timothy Green;Imagen real;2012;Original ;;
Frankenweenie;Animada;2012;Remake ;;
Ralph el demoledor / ¡Rompe Ralph!;Animada;2012;Original ;;
Tinker Bell y el secreto de las hadas / Campanilla y el secreto de las hadas;Animada;2012;Secuela;;
Oz, el poderoso / Oz: Un mundo de fantasía;Imagen real;2013;Precuela;;
Alas de vida;Imagen real;2013;Documental;;
Monsters University / Monstruos University;Animada;2013;Precuela;;
El llanero solitario;imagen real;2013;Original ;;
Aviones;Animada;2013;Spin-Off;;
Frozen: Una Aventura Congelada / Frozen: El reino de hielo;Animada;2013;Original ;;
El sueño de Walt / Al encuentro de Mr. Banks;imagen real;2013;Original ;;
Muppets 2: Los más buscados / El tour de los Muppets;imagen real;2014;Secuela;;
Osos;imagen real;2014;Documental;;
Un golpe de talento;imagen real;2014;Original ;;
Maléfica;imagen real;2014;Spin-Off;;
Aviones 2: Equipo de Rescate / Aviones: Equipo de Rescate;Animada;2014;Secuela;;
Tinker Bell: Hadas y piratas / Campanilla: Hadas y piratas;Animada;2014;Secuela;;
Grandes Héroes / Big Hero 6;Animada;2014;Original ;;
Alexander y un día terrible, horrible, malo... ¡muy malo! / Alexander y el día terrible, horrible, espantoso, horroroso;Imagen real;2014;Original ;;
En el bosque / Into the Woods;Imagen real;2014;Original ;;
McFarland, sin límites;Imagen real;2015;Original ;;
La Cenicienta;Imagen real;2015;Remake ;;
El Reino de los Monos;Imagen real;2015;Documental;;
Tomorrowland: El mundo del mañana;Imagen real;2015;Original ;;
Intensa-Mente / Del Revés;Animada;2015;Original ;;
Descendientes;Imagen real;2015;Spin-Off;;
Un Gran Dinosaurio / El viaje de Arlo;Animada;2015;Original ;;
Horas contadas / La hora decisiva;Imagen real;2016;Original ;;
Zootopia / Zootrópolis;Animada;2016;Original ;;
El libro de la selva;Animada;2016;Remake ;;
Alicia a través del espejo;Imagen real;2016;Secuela;;
Tini: El gran cambio de Violetta;Imagen real;2016;Original ;;
El buen amigo gigante / Mi gran amigo el gigante;Imagen real;2016;Original ;;
Buscando a Dory;Animada;2016;Spin-Off;;
Mi amigo el dragón / Peter y el dragón;Imagen real;2016;Remake ;;
Reina de Katwe;Imagen real;2016;Original ;;
Moana: Un mar de aventuras / Vaiana;Animada;2016;Original ;;
Growing Up Wild;Imagen real;2016;Original ;;
Dangal;Imagen real;2016;Original ;;
La bella y la bestia;Imagen real;2017;Remake ;;
La marcha de los pingüinos 2;Imagen real;2017;Documental;;
Nacidos en China;Imagen real;2017;Documental;;
Piratas del Caribe: La venganza de Salazar;Imagen real;2017;Secuela;;
Cars 3;Animada;2017;Secuela;;
